Scheme,Category,State,Year,Budget_Crore,Beneficiaries_Lakhs,Growth_Percent,Utilization_Percent,Impact_Score,Citizen_Satisfaction,Infrastructure_Score,Digital_Access_Percent,Budget_Per_Beneficiary,Efficiency_Score
Employment Linked Incentive Scheme A,Employment,Kerala,2025,5431.26,70.07,54.94,92.2,64.6,50.16,62.9,68.29,77.51,59.56
Employment Linked Incentive Scheme A,Employment,Kerala,2026,5317.39,164.02,-2.01,66.8,109.57,94.1,42.86,50.02,32.42,73.19
Employment Linked Incentive Scheme A,Employment,Uttar Pradesh,2022,5562.77,283.47,10.58,62.3,176.6,51.63,41.35,32.49,19.62,110.02
Employment Linked Incentive Scheme A,Employment,Uttar Pradesh,2023,6550.09,26.03,69.36,60.68,15.8,48.12,78.22,20.07,251.64,9.59
Employment Linked Incentive Scheme A,Employment,Uttar Pradesh,2024,7015.88,239.09,52.9,68.49,163.75,45.12,33.04,76.11,29.34,112.15
Employment Linked Incentive Scheme A,Employment,Uttar Pradesh,2025,4641.64,101.16,10.04,73.4,74.25,66.41,43.01,76.68,45.88,54.5
Employment Linked Incentive Scheme A,Employment,Uttar Pradesh,2026,7285.88,251.24,48.83,54.36,136.57,44.39,66.93,27.06,29.0,74.24
Employment Linked Incentive Scheme A,Employment,Bihar,2022,5457.94,315.62,-3.14,76.66,241.95,49.76,53.85,45.8,17.29,185.48
Employment Linked Incentive Scheme A,Employment,Bihar,2023,7645.99,448.1,84.62,54.02,242.06,86.72,83.66,96.06,17.06,130.76
Employment Linked Incentive Scheme A,Employment,Bihar,2024,6767.51,29.47,4.75,61.46,18.11,82.89,87.42,70.27,229.64,11.13
Employment Linked Incentive Scheme A,Employment,Bihar,2025,4796.71,127.57,2.75,57.21,72.98,67.67,39.17,41.76,37.6,41.75
Employment Linked Incentive Scheme A,Employment,Bihar,2026,4507.82,330.84,9.69,55.54,183.75,44.11,73.06,75.66,13.63,102.05
Employment Linked Incentive Scheme A,Employment,Rajasthan,2022,4482.58,413.32,-4.37,89.47,369.8,61.12,47.94,58.51,10.85,330.86
Employment Linked Incentive Scheme A,Employment,Rajasthan,2023,7116.81,90.81,77.75,82.51,74.93,68.21,77.91,48.54,78.37,61.82
Employment Linked Incentive Scheme A,Employment,Rajasthan,2024,6838.94,417.0,42.15,67.23,280.35,76.12,32.69,69.47,16.4,188.48
Employment Linked Incentive Scheme A,Employment,Rajasthan,2025,7486.1,293.12,40.55,81.27,238.22,94.36,54.46,82.84,25.54,193.6
Employment Linked Incentive Scheme A,Employment,Rajasthan,2026,5965.94,473.95,55.2,53.05,251.43,72.05,57.5,87.66,12.59,133.38
Employment Linked Incentive Scheme A,Employment,Gujarat,2022,7405.97,464.98,40.09,63.28,294.24,85.42,70.23,69.47,15.93,186.2
Employment Linked Incentive Scheme A,Employment,Gujarat,2023,7490.14,141.75,57.23,88.57,125.55,50.14,30.95,59.44,52.84,111.2
Employment Linked Incentive Scheme A,Employment,Gujarat,2024,5570.99,257.36,-0.5,96.81,249.15,58.22,80.12,84.9,21.65,241.2
Employment Linked Incentive Scheme A,Employment,Gujarat,2025,7530.22,462.35,43.2,79.37,366.97,95.36,65.85,41.79,16.29,291.26
Employment Linked Incentive Scheme A,Employment,Gujarat,2026,4467.3,196.15,73.14,76.8,150.64,53.98,48.8,43.79,22.77,115.69
Employment Linked Incentive Scheme A,Employment,Punjab,2022,4483.86,375.71,31.79,76.33,286.78,60.68,50.95,69.73,11.93,218.9
Employment Linked Incentive Scheme A,Employment,Punjab,2023,4585.78,169.52,35.63,99.42,168.54,55.0,58.34,74.6,27.05,167.56
Employment Linked Incentive Scheme A,Employment,Punjab,2024,7748.11,96.87,16.52,73.47,71.17,92.55,74.67,75.25,79.98,52.29
Employment Linked Incentive Scheme A,Employment,Punjab,2025,7100.18,406.96,15.48,52.65,214.26,43.53,48.83,51.7,17.45,112.81
Employment Linked Incentive Scheme A,Employment,Punjab,2026,5036.6,106.87,18.69,73.23,78.26,40.55,58.08,75.17,47.13,57.31
Employment Linked Incentive Scheme A,Employment,West Bengal,2022,5030.2,384.18,38.16,81.18,311.88,70.86,52.28,93.51,13.09,253.18
Employment Linked Incentive Scheme A,Employment,West Bengal,2023,3829.52,480.32,21.24,71.33,342.61,58.32,67.84,89.8,7.97,244.38
Employment Linked Incentive Scheme A,Employment,West Bengal,2024,5634.4,448.4,66.55,90.66,406.52,84.17,56.83,81.45,12.57,368.55
Employment Linked Incentive Scheme A,Employment,West Bengal,2025,4740.35,10.23,18.56,55.36,5.66,62.66,98.73,51.7,463.38,3.13
Employment Linked Incentive Scheme A,Employment,West Bengal,2026,4834.77,299.43,32.07,77.46,231.94,68.11,68.32,74.31,16.15,179.66
Employment Linked Incentive Scheme A,Employment,Madhya Pradesh,2022,7658.37,367.23,-1.2,55.54,203.96,45.55,61.06,48.39,20.85,113.28
Employment Linked Incentive Scheme A,Employment,Madhya Pradesh,2023,6297.81,482.79,8.24,65.95,318.4,68.22,84.53,55.31,13.04,209.98
Employment Linked Incentive Scheme A,Employment,Madhya Pradesh,2024,7585.79,316.64,65.96,77.79,246.31,84.61,91.42,27.47,23.96,191.6
Employment Linked Incentive Scheme A,Employment,Madhya Pradesh,2025,6566.95,172.71,25.19,85.42,147.53,80.41,41.33,45.07,38.02,126.02
Employment Linked Incentive Scheme A,Employment,Madhya Pradesh,2026,4630.25,483.31,37.58,95.57,461.9,41.04,60.79,40.59,9.58,441.44
Employment Linked Incentive Scheme A,Employment,Odisha,2022,5940.23,200.65,-0.92,78.65,157.81,60.71,30.14,57.75,29.6,124.12
Employment Linked Incentive Scheme A,Employment,Odisha,2023,4990.24,315.75,73.39,84.83,267.85,81.56,95.47,74.8,15.8,227.22
Employment Linked Incentive Scheme A,Employment,Odisha,2024,7078.9,241.87,77.12,71.09,171.95,42.4,52.16,82.26,29.27,122.24
Employment Linked Incentive Scheme A,Employment,Odisha,2025,6252.96,214.05,45.33,52.81,113.04,84.79,58.03,89.99,29.21,59.7
Employment Linked Incentive Scheme A,Employment,Odisha,2026,5536.4,13.98,15.25,78.83,11.02,61.85,45.94,31.47,396.02,8.69
Employment Linked Incentive Scheme A,Employment,Assam,2022,7127.61,465.28,33.17,67.12,312.3,43.26,91.75,42.46,15.32,209.62
Employment Linked Incentive Scheme A,Employment,Assam,2023,4024.97,234.57,-4.06,83.11,194.95,60.7,69.05,98.87,17.16,162.02
Employment Linked Incentive Scheme A,Employment,Assam,2024,4512.0,317.21,5.2,91.35,289.77,41.49,55.98,26.93,14.22,264.7
Employment Linked Incentive Scheme A,Employment,Assam,2025,6714.19,308.48,33.97,89.38,275.72,53.61,72.4,81.01,21.77,246.44
Employment Linked Incentive Scheme A,Employment,Assam,2026,5937.12,289.14,24.4,75.85,219.31,52.3,51.82,73.3,20.53,166.35
Employment Linked Incentive Scheme A,Employment,Telangana,2022,7465.59,457.19,15.3,70.44,322.04,76.6,75.01,67.9,16.33,226.84
Employment Linked Incentive Scheme A,Employment,Telangana,2023,5210.52,287.83,6.32,75.04,215.99,85.11,42.31,71.29,18.1,162.08
Employment Linked Incentive Scheme A,Employment,Telangana,2024,6065.64,265.75,80.81,77.08,204.84,75.22,62.88,38.29,22.82,157.89
Employment Linked Incentive Scheme A,Employment,Telangana,2025,5842.66,433.25,38.83,76.52,331.52,94.83,54.14,55.1,13.49,253.68
Employment Linked Incentive Scheme A,Employment,Telangana,2026,6971.6,347.08,46.58,88.8,308.21,70.84,81.02,42.09,20.09,273.69
Employment Linked Incentive Scheme A,Employment,Andhra Pradesh,2022,4491.13,373.86,7.07,85.44,319.43,89.99,56.52,70.2,12.01,272.92
Employment Linked Incentive Scheme A,Employment,Andhra Pradesh,2023,4110.8,416.93,15.0,53.89,224.68,49.47,80.98,49.48,9.86,121.08
Employment Linked Incentive Scheme A,Employment,Andhra Pradesh,2024,5932.23,133.31,18.43,82.68,110.22,85.94,39.21,87.56,44.5,91.13
Employment Linked Incentive Scheme A,Employment,Andhra Pradesh,2025,7525.13,139.41,70.37,64.8,90.34,40.21,66.45,47.52,53.98,58.54
Employment Linked Incentive Scheme A,Employment,Andhra Pradesh,2026,7069.78,311.13,68.02,89.96,279.89,44.57,62.57,21.93,22.72,251.79
Employment Linked Incentive Scheme B,Employment,Karnataka,2022,11932.9,304.83,60.08,84.2,256.67,57.63,90.89,34.38,39.15,216.12
Employment Linked Incentive Scheme B,Employment,Karnataka,2023,11183.44,183.71,2.4,81.21,149.19,65.09,50.61,38.45,60.88,121.16
Employment Linked Incentive Scheme B,Employment,Karnataka,2024,13488.23,204.0,26.3,66.35,135.35,84.55,80.68,20.63,66.12,89.8
Employment Linked Incentive Scheme B,Employment,Karnataka,2025,13887.06,68.77,56.46,94.07,64.69,97.39,95.26,99.31,201.93,60.85
Employment Linked Incentive Scheme B,Employment,Karnataka,2026,16016.46,482.66,32.61,89.89,433.86,71.81,53.51,75.59,33.18,390.0
Employment Linked Incentive Scheme B,Employment,Maharashtra,2022,10389.34,191.93,71.8,59.76,114.7,43.91,33.71,49.38,54.13,68.54
Employment Linked Incentive Scheme B,Employment,Maharashtra,2023,17205.96,448.1,-2.87,62.9,281.85,51.42,62.04,82.77,38.4,177.28
Employment Linked Incentive Scheme B,Employment,Maharashtra,2024,13178.32,25.93,36.17,71.9,18.64,97.71,94.76,39.53,508.23,13.4
Employment Linked Incentive Scheme B,Employment,Maharashtra,2025,18057.06,209.3,30.46,92.46,193.52,41.29,55.66,31.67,86.27,178.93
Employment Linked Incentive Scheme B,Employment,Maharashtra,2026,18238.08,224.91,37.33,84.32,189.64,80.66,75.22,56.22,81.09,159.9
Employment Linked Incentive Scheme B,Employment,Tamil Nadu,2022,17569.07,383.17,61.87,95.71,366.73,82.14,92.4,96.36,45.85,351.0
Employment Linked Incentive Scheme B,Employment,Tamil Nadu,2023,19764.32,391.52,33.75,53.71,210.29,96.53,67.49,94.29,50.48,112.95
Employment Linked Incentive Scheme B,Employment,Tamil Nadu,2024,14804.01,80.9,-2.92,58.85,47.61,57.54,56.93,48.11,182.99,28.02
Employment Linked Incentive Scheme B,Employment,Tamil Nadu,2025,12562.45,350.46,29.36,64.68,226.68,94.71,41.38,88.27,35.85,146.62
Employment Linked Incentive Scheme B,Employment,Tamil Nadu,2026,17639.96,88.26,79.78,56.05,49.47,83.08,37.86,61.5,199.86,27.73
Employment Linked Incentive Scheme B,Employment,Kerala,2022,18970.83,161.65,13.17,64.53,104.31,62.52,76.09,90.54,117.36,67.31
Employment Linked Incentive Scheme B,Employment,Kerala,2023,11268.36,295.26,7.0,74.54,220.09,41.39,67.58,58.8,38.16,164.06
Employment Linked Incentive Scheme B,Employment,Kerala,2024,17125.98,119.72,6.19,73.85,88.41,91.69,97.36,86.31,143.05,65.29
Employment Linked Incentive Scheme B,Employment,Kerala,2025,9734.31,93.61,29.42,63.23,59.19,97.82,42.17,73.85,103.99,37.43
Employment Linked Incentive Scheme B,Employment,Kerala,2026,14242.39,100.29,50.63,98.78,99.07,81.25,95.76,85.92,142.01,97.86
Employment Linked Incentive Scheme B,Employment,Uttar Pradesh,2022,10438.33,183.78,59.71,54.37,99.92,78.17,75.08,39.45,56.8,54.33
Employment Linked Incentive Scheme B,Employment,Uttar Pradesh,2023,15100.84,138.01,-4.78,63.11,87.1,44.2,56.19,59.46,109.42,54.97
Employment Linked Incentive Scheme B,Employment,Uttar Pradesh,2024,10127.0,485.52,55.53,88.98,432.02,40.14,30.75,91.9,20.86,384.41
Employment Linked Incentive Scheme B,Employment,Uttar Pradesh,2025,19910.23,233.91,20.81,69.5,162.57,79.87,51.33,80.34,85.12,112.99
Employment Linked Incentive Scheme B,Employment,Uttar Pradesh,2026,19261.57,196.95,10.64,97.86,192.74,50.28,82.32,65.48,97.8,188.62
Employment Linked Incentive Scheme B,Employment,Bihar,2022,15318.98,430.33,-4.66,69.41,298.69,76.86,52.26,56.88,35.6,207.32
Employment Linked Incentive Scheme B,Employment,Bihar,2023,19255.47,462.13,66.62,80.8,373.4,92.78,42.92,42.19,41.67,301.71
Employment Linked Incentive Scheme B,Employment,Bihar,2024,12162.39,300.36,67.66,73.63,221.16,72.18,52.24,68.31,40.49,162.84
Employment Linked Incentive Scheme B,Employment,Bihar,2025,17826.96,361.18,64.27,94.17,340.12,49.64,73.62,84.13,49.36,320.29
Employment Linked Incentive Scheme B,Employment,Bihar,2026,10221.04,27.48,70.22,65.45,17.99,54.65,45.32,39.07,371.94,11.77
Employment Linked Incentive Scheme B,Employment,Rajasthan,2022,11164.46,488.01,-2.33,74.39,363.03,85.23,62.39,55.2,22.88,270.06
Employment Linked Incentive Scheme B,Employment,Rajasthan,2023,13058.74,42.29,74.06,63.47,26.84,92.89,69.86,79.41,308.79,17.04
Employment Linked Incentive Scheme B,Employment,Rajasthan,2024,17584.03,229.38,11.25,90.09,206.65,46.22,86.88,65.51,76.66,186.17
Employment Linked Incentive Scheme B,Employment,Rajasthan,2025,14962.85,157.49,47.02,87.78,138.24,43.36,85.79,82.79,95.01,121.35
Employment Linked Incentive Scheme B,Employment,Rajasthan,2026,15628.11,108.73,44.28,98.35,106.94,42.17,98.32,38.38,143.73,105.18
Employment Linked Incentive Scheme B,Employment,Gujarat,2022,16362.48,78.35,67.76,52.31,40.98,69.09,98.34,79.88,208.84,21.44
Employment Linked Incentive Scheme B,Employment,Gujarat,2023,17459.55,117.84,53.96,53.59,63.15,93.48,30.99,80.05,148.16,33.84
Employment Linked Incentive Scheme B,Employment,Gujarat,2024,13334.97,433.6,18.31,70.48,305.6,55.71,51.68,87.14,30.75,215.39
Employment Linked Incentive Scheme B,Employment,Gujarat,2025,14656.73,490.91,22.75,58.52,287.28,79.93,51.58,95.35,29.86,168.12
Employment Linked Incentive Scheme B,Employment,Gujarat,2026,17609.77,268.83,20.53,74.33,199.82,48.18,38.96,39.09,65.51,148.53
Employment Linked Incentive Scheme B,Employment,Punjab,2022,19228.24,242.36,73.13,75.63,183.3,67.08,91.99,94.51,79.34,138.63
Employment Linked Incentive Scheme B,Employment,Punjab,2023,13516.77,299.69,30.19,94.69,283.78,89.2,59.66,70.69,45.1,268.71
Employment Linked Incentive Scheme B,Employment,Punjab,2024,18915.05,368.23,-0.04,63.62,234.27,75.66,66.95,95.11,51.37,149.04
Employment Linked Incentive Scheme B,Employment,Punjab,2025,18162.4,224.47,79.39,57.54,129.16,66.89,84.72,27.4,80.91,74.32
Employment Linked Incentive Scheme B,Employment,Punjab,2026,17106.89,153.44,21.37,93.11,142.87,75.0,63.56,91.38,111.49,133.03
Employment Linked Incentive Scheme B,Employment,West Bengal,2022,12805.63,319.45,3.89,88.35,282.23,52.81,91.96,65.67,40.09,249.35
Employment Linked Incentive Scheme B,Employment,West Bengal,2023,18879.92,113.66,17.67,70.4,80.02,50.85,46.58,61.82,166.11,56.33
Employment Linked Incentive Scheme B,Employment,West Bengal,2024,13742.1,139.27,31.92,50.27,70.01,59.4,38.73,73.14,98.67,35.19
Employment Linked Incentive Scheme B,Employment,West Bengal,2025,12301.92,203.28,79.83,51.66,105.01,44.58,90.41,63.33,60.52,54.25
Employment Linked Incentive Scheme B,Employment,West Bengal,2026,18509.72,166.55,17.09,69.3,115.42,72.08,83.28,71.22,111.14,79.99
Employment Linked Incentive Scheme B,Employment,Madhya Pradesh,2022,14952.93,418.75,0.26,66.92,280.23,67.26,94.03,65.47,35.71,187.53
Employment Linked Incentive Scheme B,Employment,Madhya Pradesh,2023,13185.32,97.01,6.42,84.48,81.95,59.67,46.48,83.73,135.92,69.23
Employment Linked Incentive Scheme B,Employment,Madhya Pradesh,2024,11668.57,382.92,71.93,52.88,202.49,85.25,82.24,84.96,30.47,107.08
Employment Linked Incentive Scheme B,Employment,Madhya Pradesh,2025,16307.5,110.36,27.27,76.94,84.91,77.02,94.52,67.7,147.77,65.33
Employment Linked Incentive Scheme B,Employment,Madhya Pradesh,2026,11428.92,249.2,53.02,72.63,180.99,92.97,45.33,51.87,45.86,131.45
Employment Linked Incentive Scheme B,Employment,Odisha,2022,15046.08,218.69,29.19,72.67,158.92,65.93,61.48,28.07,68.8,115.49
Employment Linked Incentive Scheme B,Employment,Odisha,2023,14788.45,245.33,24.87,63.06,154.71,76.39,73.51,31.18,60.28,97.56
Employment Linked Incentive Scheme B,Employment,Odisha,2024,14645.13,479.16,-2.3,79.04,378.73,87.26,51.68,63.95,30.56,299.35
Employment Linked Incentive Scheme B,Employment,Odisha,2025,12902.21,392.38,66.42,92.25,361.97,78.4,36.58,93.77,32.88,333.92
Employment Linked Incentive Scheme B,Employment,Odisha,2026,13515.89,377.31,82.36,77.72,293.25,96.76,41.32,46.46,35.82,227.91
Employment Linked Incentive Scheme B,Employment,Assam,2022,14806.96,18.4,16.41,57.91,10.66,71.94,33.09,79.93,804.73,6.17
Employment Linked Incentive Scheme B,Employment,Assam,2023,15868.8,293.63,11.58,59.02,173.3,48.38,90.32,58.89,54.04,102.28
Employment Linked Incentive Scheme B,Employment,Assam,2024,19728.16,298.8,39.11,63.3,189.14,77.3,53.52,34.57,66.02,119.73
Employment Linked Incentive Scheme B,Employment,Assam,2025,17734.01,426.93,74.53,93.5,399.18,40.75,57.82,93.43,41.54,373.23
Employment Linked Incentive Scheme B,Employment,Assam,2026,14239.46,402.42,42.0,55.37,222.82,56.78,63.85,92.57,35.38,123.38
Employment Linked Incentive Scheme B,Employment,Telangana,2022,18864.72,140.22,19.58,51.48,72.19,63.29,69.64,84.59,134.54,37.16
Employment Linked Incentive Scheme B,Employment,Telangana,2023,16837.1,54.39,57.49,58.44,31.79,65.24,48.92,51.52,309.56,18.58
Employment Linked Incentive Scheme B,Employment,Telangana,2024,10353.41,85.81,10.46,98.89,84.86,62.77,69.91,99.21,120.66,83.92
Employment Linked Incentive Scheme B,Employment,Telangana,2025,9849.12,293.88,37.68,53.95,158.55,74.0,37.1,44.06,33.51,85.54
Employment Linked Incentive Scheme B,Employment,Telangana,2026,15826.28,56.63,36.21,68.76,38.94,96.05,91.35,39.94,279.47,26.78
Employment Linked Incentive Scheme B,Employment,Andhra Pradesh,2022,12024.04,235.84,63.31,81.2,191.5,84.9,72.97,45.39,50.98,155.5
Employment Linked Incentive Scheme B,Employment,Andhra Pradesh,2023,9754.13,40.05,15.66,51.01,20.43,51.3,82.85,91.32,243.55,10.42
Employment Linked Incentive Scheme B,Employment,Andhra Pradesh,2024,19298.27,24.05,66.95,75.48,18.15,44.89,40.93,80.37,802.42,13.7
Employment Linked Incentive Scheme B,Employment,Andhra Pradesh,2025,13329.8,101.91,6.0,92.39,94.15,53.47,51.98,70.03,130.8,86.99
Employment Linked Incentive Scheme B,Employment,Andhra Pradesh,2026,14700.19,375.99,68.0,85.52,321.55,57.11,54.06,95.24,39.1,274.99
Internship Programme,Employment,Karnataka,2022,48164.96,282.11,13.85,66.93,188.82,94.83,93.62,25.91,170.73,126.38
Internship Programme,Employment,Karnataka,2023,39964.0,179.01,10.41,69.31,124.07,81.59,79.57,34.37,223.25,85.99
Internship Programme,Employment,Karnataka,2024,38129.98,215.94,5.55,90.71,195.88,57.55,37.76,48.64,176.58,177.68
Internship Programme,Employment,Karnataka,2025,42115.53,11.81,26.88,96.76,11.43,76.52,68.94,98.41,3566.09,11.06
Internship Programme,Employment,Karnataka,2026,42679.41,263.82,51.85,98.54,259.97,75.6,46.63,47.53,161.77,256.17
Internship Programme,Employment,Maharashtra,2022,54491.06,409.82,54.36,71.53,293.14,82.41,64.08,91.94,132.96,209.68
Internship Programme,Employment,Maharashtra,2023,50748.5,101.96,80.46,84.72,86.38,82.88,61.23,59.48,497.73,73.18
Internship Programme,Employment,Maharashtra,2024,54380.79,468.85,38.84,93.73,439.45,52.35,51.18,49.81,115.99,411.9
Internship Programme,Employment,Maharashtra,2025,32727.21,294.17,16.6,78.14,229.86,51.05,81.83,84.7,111.25,179.61
Internship Programme,Employment,Maharashtra,2026,33503.1,480.31,80.43,58.75,282.18,47.16,51.28,26.82,69.75,165.78
Internship Programme,Employment,Tamil Nadu,2022,46781.91,84.91,46.5,98.58,83.7,86.43,75.9,20.25,550.96,82.51
Internship Programme,Employment,Tamil Nadu,2023,43907.3,250.67,77.18,90.28,226.3,73.46,32.41,73.87,175.16,204.3
Internship Programme,Employment,Tamil Nadu,2024,39192.04,224.44,17.79,79.31,178.0,49.88,90.05,83.74,174.62,141.17
Internship Programme,Employment,Tamil Nadu,2025,54297.0,242.75,30.46,97.82,237.46,66.75,44.94,55.84,223.67,232.28
Internship Programme,Employment,Tamil Nadu,2026,35629.44,75.81,22.67,96.87,73.44,85.52,39.96,62.77,469.98,71.14
Internship Programme,Employment,Kerala,2022,50412.84,39.47,75.78,80.12,31.62,59.6,49.51,80.36,1277.24,25.33
Internship Programme,Employment,Kerala,2023,32255.49,14.3,28.47,96.3,13.77,40.95,70.66,97.54,2255.63,13.26
Internship Programme,Employment,Kerala,2024,43905.88,154.51,31.74,98.07,151.53,48.25,86.42,60.8,284.16,148.61
Internship Programme,Employment,Kerala,2025,28267.5,256.77,60.63,63.84,163.92,73.87,88.67,93.19,110.09,104.65
Internship Programme,Employment,Kerala,2026,39142.15,367.56,10.27,50.31,184.92,45.17,87.28,58.1,106.49,93.03
Internship Programme,Employment,Uttar Pradesh,2022,38052.75,338.51,33.71,59.58,201.68,94.67,52.05,44.71,112.41,120.16
Internship Programme,Employment,Uttar Pradesh,2023,48363.18,412.39,61.42,97.44,401.83,56.47,33.62,63.63,117.28,391.54
Internship Programme,Employment,Uttar Pradesh,2024,27775.48,39.1,73.33,92.21,36.05,52.77,46.25,58.55,710.37,33.24
Internship Programme,Employment,Uttar Pradesh,2025,35172.92,190.11,26.18,92.82,176.46,74.3,31.48,94.35,185.01,163.79
Internship Programme,Employment,Uttar Pradesh,2026,38973.35,471.36,47.79,82.27,387.79,73.89,86.05,83.94,82.68,319.03
Internship Programme,Employment,Bihar,2022,51119.51,135.03,45.87,87.39,118.0,81.96,90.44,32.52,378.58,103.12
Internship Programme,Employment,Bihar,2023,51918.87,250.55,29.41,95.96,240.43,63.18,94.65,56.87,207.22,230.72
Internship Programme,Employment,Bihar,2024,38249.15,81.76,12.97,90.11,73.67,45.54,93.83,78.89,467.82,66.38
Internship Programme,Employment,Bihar,2025,31248.62,75.03,38.91,87.4,65.58,94.37,64.83,58.89,416.48,57.32
Internship Programme,Employment,Bihar,2026,27578.08,228.2,63.4,72.13,164.6,73.69,50.02,97.73,120.85,118.73
Internship Programme,Employment,Rajasthan,2022,37054.56,111.74,56.38,54.23,60.6,40.1,80.76,51.59,331.61,32.86
Internship Programme,Employment,Rajasthan,2023,43086.19,302.6,3.52,80.17,242.59,80.27,72.67,21.19,142.39,194.48
Internship Programme,Employment,Rajasthan,2024,39984.87,384.15,11.29,64.91,249.35,51.38,80.6,86.83,104.09,161.85
Internship Programme,Employment,Rajasthan,2025,28308.74,207.22,12.85,79.96,165.69,68.81,95.84,22.68,136.61,132.49
Internship Programme,Employment,Rajasthan,2026,28859.52,482.65,65.59,58.38,281.77,80.85,92.75,20.38,59.79,164.5
Internship Programme,Employment,Gujarat,2022,41409.93,110.9,79.69,69.68,77.28,73.04,85.99,93.82,373.4,53.85
Internship Programme,Employment,Gujarat,2023,34490.33,399.84,73.92,81.72,326.75,78.88,94.09,30.49,86.26,267.02
Internship Programme,Employment,Gujarat,2024,51555.09,123.29,76.85,86.47,106.61,44.7,59.71,72.07,418.16,92.19
Internship Programme,Employment,Gujarat,2025,47797.98,27.97,2.15,90.32,25.26,88.49,40.14,20.65,1708.9,22.81
Internship Programme,Employment,Gujarat,2026,48182.67,86.71,15.84,57.78,50.1,41.82,60.17,33.61,555.68,28.95
Internship Programme,Employment,Punjab,2022,41770.98,435.98,56.54,82.37,359.12,56.65,63.39,97.56,95.81,295.81
Internship Programme,Employment,Punjab,2023,44072.73,383.86,-0.87,67.73,259.99,68.03,91.52,41.64,114.81,176.09
Internship Programme,Employment,Punjab,2024,52250.16,351.46,-2.32,53.46,187.89,47.24,98.74,87.24,148.67,100.45
Internship Programme,Employment,Punjab,2025,41636.45,16.97,53.62,59.1,10.03,41.97,94.83,99.27,2453.53,5.93
Internship Programme,Employment,Punjab,2026,36725.5,190.06,28.62,61.97,117.78,67.73,35.56,63.02,193.23,72.99
Internship Programme,Employment,West Bengal,2022,27783.05,79.47,-1.24,63.86,50.75,84.21,71.23,24.42,349.6,32.41
Internship Programme,Employment,West Bengal,2023,40599.18,97.21,20.13,59.84,58.17,88.02,93.97,61.53,417.64,34.81
Internship Programme,Employment,West Bengal,2024,38267.17,395.8,74.75,96.13,380.48,56.9,88.9,37.92,96.68,365.76
Internship Programme,Employment,West Bengal,2025,35716.27,349.92,33.66,74.24,259.78,63.45,85.45,40.51,102.07,192.86
Internship Programme,Employment,West Bengal,2026,29848.9,144.05,15.04,99.37,143.14,40.22,89.76,95.5,207.21,142.24
Internship Programme,Employment,Madhya Pradesh,2022,42155.6,473.41,51.16,58.45,276.71,84.57,64.1,36.19,89.05,161.74
Internship Programme,Employment,Madhya Pradesh,2023,30043.7,38.33,47.9,87.74,33.63,47.9,75.71,74.9,783.82,29.51
Internship Programme,Employment,Madhya Pradesh,2024,29482.39,40.5,44.93,99.67,40.37,95.39,55.58,81.42,727.96,40.24
Internship Programme,Employment,Madhya Pradesh,2025,43798.54,462.09,27.1,76.54,353.68,86.25,30.95,53.7,94.78,270.71
Internship Programme,Employment,Madhya Pradesh,2026,31430.26,438.69,32.01,59.07,259.13,97.34,77.83,60.71,71.65,153.07
Internship Programme,Employment,Odisha,2022,45789.1,140.85,26.1,55.49,78.16,57.63,54.17,31.45,325.09,43.37
Internship Programme,Employment,Odisha,2023,43120.67,465.86,19.92,89.66,417.69,55.14,35.14,65.78,92.56,374.5
Internship Programme,Employment,Odisha,2024,32727.05,165.71,14.33,64.93,107.6,50.97,69.16,59.5,197.5,69.86
Internship Programme,Employment,Odisha,2025,40455.09,261.7,18.46,51.17,133.91,97.52,35.39,62.02,154.59,68.52
Internship Programme,Employment,Odisha,2026,34386.74,433.53,48.04,69.64,301.91,84.8,38.96,60.96,79.32,210.25
Internship Programme,Employment,Assam,2022,33016.19,169.32,16.88,66.2,112.09,85.64,92.12,49.17,194.99,74.2
Internship Programme,Employment,Assam,2023,52578.66,487.01,59.74,54.63,266.05,74.81,98.12,58.94,107.96,145.34
Internship Programme,Employment,Assam,2024,32733.58,212.22,-0.08,57.22,121.43,93.26,56.63,44.2,154.24,69.48
Internship Programme,Employment,Assam,2025,32338.92,207.93,55.54,60.23,125.24,47.95,46.01,63.38,155.53,75.43
Internship Programme,Employment,Assam,2026,31468.05,487.25,-0.76,60.22,293.42,55.58,33.03,47.78,64.58,176.7
Internship Programme,Employment,Telangana,2022,33879.03,266.32,18.29,85.0,226.37,89.98,72.44,59.91,127.21,192.41
Internship Programme,Employment,Telangana,2023,37458.68,186.39,1.69,93.4,174.09,73.0,66.44,65.97,200.97,162.6
Internship Programme,Employment,Telangana,2024,27702.48,325.68,61.9,68.77,223.97,53.11,59.14,66.15,85.06,154.02
Internship Programme,Employment,Telangana,2025,50467.01,21.93,61.89,53.03,11.63,89.89,87.62,99.47,2301.28,6.17
Internship Programme,Employment,Telangana,2026,50219.49,51.02,29.19,96.43,49.2,46.15,58.49,96.6,984.31,47.44
Internship Programme,Employment,Andhra Pradesh,2022,36317.89,40.17,20.02,58.63,23.55,97.45,77.1,94.82,904.1,13.81
Internship Programme,Employment,Andhra Pradesh,2023,54883.0,184.83,72.55,61.45,113.58,82.91,54.24,73.32,296.94,69.79
Internship Programme,Employment,Andhra Pradesh,2024,49323.96,257.17,41.62,83.31,214.25,80.13,82.67,48.4,191.8,178.49
